"dataset","AA_estimate","A0_estimate","A1_estimate","AA_se","A0_se","A1_se","dataset.1","AA_estimate.1","A0_estimate.1","A1_estimate.1","AA_se.1","A0_se.1","A1_se.1"
2,0.185183751775411,0.133304370078098,0.223290593715121,0.19239696575565,0.177321360040359,0.0759083614130659,3,0.20198857605718,0.143986724972023,0.284759047488364,0.102378130053822,0.0590391506691789,0.0839703006831041
2,0.188595046888409,0.135096486615822,0.227261359484096,0.125013682911456,0.104546399615783,0.0700714528127967,3,0.199899669430553,0.131086960446025,0.28564723951013,0.105034863445636,0.0566527062130308,0.0885701229133312
2,0.200883867082995,0.136815196987383,0.23223625554935,0.167545239613745,0.146217723281106,0.0830579430197465,3,0.195204068755581,0.138799469728382,0.286717823576467,0.103532550351112,0.0582339984673442,0.0858641024912294
2,0.201754850113801,0.138842630805917,0.237921864856543,0.168517444149894,0.14587522364782,0.0853455360017988,3,0.199712265833939,0.140272666415852,0.28869716566244,0.108620092715964,0.0662468049196292,0.0858065709079966
2,0.20962269449377,0.154750679351617,0.233223167242508,0.195283987968452,0.174044107719124,0.0896405359518417,3,0.199046111243598,0.145589804299073,0.289307698651008,0.0972949483989695,0.0566856136724255,0.0793311169581112
2,0.170642741932361,0.127933005533529,0.214600470419315,0.13782867159265,0.115578774556555,0.0763248931404509,3,0.196209686847678,0.127389228295093,0.281738482876837,0.120327541084987,0.0676639568564697,0.0993658046801135
2,0.184869110861331,0.131399080650054,0.220658484135304,0.192466391959964,0.168054863504769,0.0945762919652652,3,0.195161177749651,0.129972011382026,0.28788867429347,0.0949587605942051,0.0558132370755927,0.0769005195270191
2,0.200158789713068,0.14750554191853,0.229074397818247,0.195648599298553,0.178787386911802,0.0807575384983787,3,0.198578993721768,0.13258353602897,0.283644688027254,0.104696059863997,0.0636210600653094,0.0831114274219756
2,0.193564079465053,0.142668469728377,0.226576622082472,0.147564914117454,0.128959745566844,0.0731202326545934,3,0.186914346173805,0.122765981853676,0.283062143417427,0.11166375068259,0.0629033262289805,0.0925197245885791
2,0.200770599987238,0.156123239526967,0.222826701684459,0.201201138982215,0.177455483057974,0.095877970637218,3,0.200651293456955,0.126721211028681,0.28616645150769,0.0999104046451404,0.0607489066770834,0.0795684307239314
2,0.185841228495191,0.13648497463546,0.216243080624142,0.143537216145421,0.125999490444649,0.0701854296640319,3,0.202641214014396,0.12789327011309,0.287672924788717,0.100653539397908,0.059197078355697,0.0816032292451561
2,0.198540782106102,0.132859440587954,0.224017336482783,0.160040907736086,0.146438769494998,0.0660474724993968,3,0.202412637012364,0.134576651833292,0.28702953308907,0.109741993390453,0.0659529159482236,0.0881055053833638
2,0.20263301212435,0.13040087747387,0.234649325930109,0.158810647383462,0.146860642923387,0.0621955543937025,3,0.206337060477923,0.141085384858689,0.287134137398516,0.100099310507439,0.0581168165640656,0.0816978205990233
2,0.193076468359486,0.142540224064649,0.220773096576833,0.155817096034528,0.134129182165507,0.0803161009007571,3,0.199344503923365,0.133056839797667,0.287360281772512,0.0993768573548132,0.0591021161095472,0.079847856093829
2,0.18838053855759,0.138521079134574,0.220436551320404,0.18255570165051,0.16019686513952,0.0886378751761129,3,0.19429092865415,0.130642356309592,0.281615375914244,0.103056682533976,0.0563962068670287,0.0864032323864486
2,0.204051324093909,0.134114914745945,0.241885133334045,0.195064739533531,0.175066438279928,0.0866609679032788,3,0.202111136881612,0.150614379435595,0.277887151923181,0.0942192041472286,0.0574516095935828,0.0749017789085842
2,0.194930291737109,0.134459230627451,0.238902447893317,0.166352420144746,0.15140978914966,0.0707230519412221,3,0.190830785684898,0.130513218276295,0.285638956596975,0.0892185371387856,0.0521856544823497,0.0723936148645129
2,0.184004548760196,0.144372622424545,0.21238822591742,0.145238920055791,0.120103538124319,0.0825460332351247,3,0.203352512602748,0.132945492336758,0.29008563255292,0.101861868593416,0.0603680788877042,0.0821876180261912
2,0.186116092582275,0.142859190127643,0.217439153962285,0.145912050088588,0.125610511590981,0.07536950151627,3,0.195817548657952,0.133869872091238,0.282009431512504,0.102294294315256,0.0632432811102878,0.0805376330924631
2,0.200700564532954,0.139753522904998,0.240343501020118,0.150388730327492,0.13198259046712,0.0738684404294518,3,0.200214161366576,0.1323276408603,0.282705888007066,0.0992705990209067,0.0557763645874703,0.0821803472051585
2,0.196472795029736,0.145139019558426,0.232918864818293,0.163863730013195,0.143068284583937,0.081137494648017,3,0.19911813477084,0.139636401079553,0.280335374624097,0.106581841742152,0.0612156878531926,0.087791423134256
2,0.182746549729888,0.131725070395262,0.221830899567727,0.136810659740119,0.116229135418402,0.0735548277789568,3,0.193018099445701,0.138867843868642,0.272460779408618,0.0955834654252983,0.05782316878805,0.0761659268515808
2,0.200812254394433,0.136635826294233,0.238417156065475,0.182341573467206,0.156524331823657,0.0946801567072346,3,0.202590720379302,0.134144179212825,0.292286282979019,0.104220800253265,0.0600928030303944,0.0858033054133521
2,0.198953064388807,0.132737005183096,0.224474902866045,0.153248080466031,0.132580344333019,0.078144711457265,3,0.213186304895577,0.141707700557646,0.29552944437441,0.10998164539296,0.0651992767473128,0.0884704791960015
2,0.182996423541302,0.13813849244372,0.210461076026324,0.147548192002179,0.118263829823145,0.0890714310173478,3,0.199832766654851,0.138892154959307,0.286721178815152,0.0979621792218733,0.0508003659052278,0.0837698283819123
2,0.193867437111123,0.132026155438183,0.22300326125185,0.138149465455766,0.116603228199947,0.0752460363761374,3,0.203435788965373,0.138375789650281,0.288647785151229,0.10875708157337,0.0568418129178132,0.0926755779938942
2,0.195781795232687,0.127249249780236,0.229542283349665,0.182478706675662,0.166327271396275,0.0764826341455076,3,0.20327296731965,0.144427208100812,0.280833593995852,0.104922986125994,0.0622987933801573,0.084400066168341
2,0.196023633168701,0.129158548482204,0.23656119505384,0.166353414613978,0.143225716482709,0.0860696126890578,3,0.198823290456018,0.135467820608748,0.285645767965895,0.103787275735815,0.0618770703102083,0.0836326842791999
2,0.169836632695486,0.118370295290101,0.218550758005168,0.121964897446805,0.0914770774419434,0.0819769695464029,3,0.203423231120559,0.139142879985844,0.292294578915978,0.100626828155383,0.0546884670206349,0.0845644167810391
2,0.188023180803978,0.133550397596336,0.226168986827139,0.160842758328265,0.142915615613898,0.0747990820312874,3,0.200878663977946,0.134618152834825,0.284821956245948,0.09971400331573,0.0619066720838397,0.0783737713067843
2,0.1891724877608,0.130028972681556,0.229424554217315,0.154037439152653,0.117690318790321,0.100405220314858,3,0.201212079440903,0.135060096795629,0.283685621223669,0.099936022763355,0.0534615411354405,0.084364940113236
2,0.178304073572547,0.130717055796249,0.218575166528742,0.137377822176245,0.0935502592522358,0.101597545616493,3,0.203426884310807,0.134542534814974,0.29649183973897,0.10443526568127,0.0604803402074543,0.0854311092941885
2,0.206594312023781,0.142793127784119,0.245524784182008,0.173323304935015,0.150291078798065,0.0876728509123802,3,0.196245606473108,0.127831993830982,0.27990877296548,0.09811177183282,0.0582811909625106,0.0791267342516623
2,0.195132524716739,0.137693844821493,0.227209960428528,0.172004607261114,0.150608499060634,0.084107150206513,3,0.196975234805344,0.129336440498928,0.282320565394566,0.103074667555259,0.0537209768169947,0.087828547493599
2,0.190404586015728,0.14754525915828,0.222308202470255,0.159429725028874,0.131249666017085,0.0917654726769812,3,0.201876161406676,0.13476152561527,0.289469412824284,0.0998741238036169,0.0650831903935067,0.0761023222602738
2,0.187162693786551,0.135135469842317,0.219928998885742,0.123183561258481,0.0983356073922887,0.075413261324326,3,0.202415061173827,0.13659904383895,0.292103414512806,0.102347663878638,0.0608857298785649,0.0825087404631156
2,0.190922755726405,0.139042313904624,0.224370515379064,0.2062559498711,0.174877389186573,0.109953316728969,3,0.196251662554901,0.131767123132869,0.281401163775021,0.104222732099882,0.0598948777907565,0.0853674578779357
2,0.204399809014761,0.150555273727657,0.247674296855138,0.254575102323673,0.226884007079929,0.116270349525688,3,0.197286410323568,0.132824574212728,0.292215606039393,0.101887874502993,0.0551954315469253,0.0857593665553939
2,0.203808883667457,0.150735564601394,0.235021149811575,0.179835751797325,0.16501263813393,0.0731503674238617,3,0.198160575293537,0.124714262349356,0.283701337160046,0.10569360987052,0.0647126867696025,0.0837800663975362
2,0.203743445165812,0.145683524612504,0.234952266419443,0.168591075153598,0.15324997439395,0.0719790814465036,3,0.203386305809874,0.138316637616297,0.289394670731252,0.101091785784051,0.0580910745950359,0.0831457161678334
2,0.185442536583219,0.140441788842719,0.232837679659654,0.180644587249793,0.155106675255282,0.0935381023436807,3,0.201026380922983,0.138037968977695,0.284524753339245,0.100989461999152,0.0582698341749886,0.0824433366724224
2,0.20104191878639,0.128508633958191,0.238358420576436,0.156180756578362,0.136450448652208,0.0774473016842409,3,0.199058817330225,0.133392729968852,0.287309150839882,0.102301501732591,0.0599927471239802,0.0829485905485448
2,0.191576253393839,0.150365566070048,0.22104803445103,0.15473251600961,0.140335841832176,0.0664982862471034,3,0.20221934467578,0.133168926376209,0.287218732375325,0.114727155814066,0.0724223600157376,0.0887532720857447
2,0.187779867259735,0.125172851596065,0.233361581972575,0.170543992047442,0.145323893764592,0.0905867727282347,3,0.197596225197497,0.129071808690113,0.285131616541459,0.0968993588678178,0.0492645386671625,0.0837327723147031
2,0.204382778240229,0.142702444053421,0.234404612489519,0.169403439757803,0.151755607400487,0.0766934527278452,3,0.199054079003911,0.134961523165264,0.285600587742803,0.103772376911671,0.0642966809593352,0.0812616382874582
2,0.194823950578511,0.150304859885096,0.225426225870508,0.202336125969255,0.181889534808877,0.0897277974572614,3,0.202887899506914,0.137557508142977,0.289955124656734,0.103584489422787,0.0683024907060323,0.0782755458774234
2,0.197969558812417,0.146275061755692,0.229049048723186,0.193579805508315,0.167288329656173,0.0981571911515648,3,0.202404273030886,0.131705374571127,0.285596801421561,0.103139649141609,0.0583871910790721,0.0850009367063604
2,0.203196427506783,0.123084532025699,0.246876235502159,0.161758431595901,0.141998976353616,0.0790493066901199,3,0.206585064687938,0.145775139730282,0.296137425494182,0.112306515405778,0.0582813919460616,0.0961104597334667
2,0.200028176846116,0.144082053245762,0.230137872733451,0.170916909314013,0.149997589831362,0.0831309761514993,3,0.201542906109846,0.13508749968713,0.284970904687053,0.114427299643136,0.0651042435449192,0.0941945286872238
2,0.192098006937981,0.13752868561935,0.223886296529824,0.119513276855573,0.0944412547023178,0.0743273151064555,3,0.197335476784315,0.134718990381258,0.279853273888369,0.0999167274921211,0.0593270219602451,0.0805089633779715
2,0.198879930876233,0.136416466279951,0.238198135425326,0.157772230413079,0.131160279202592,0.0889565316092383,3,0.196697994858267,0.141388900094855,0.281450572241186,0.100867217307946,0.0653363508408125,0.0772391518946865
2,0.205667814855131,0.153492474764968,0.244313197046808,0.191622204198444,0.177525211685219,0.0739161785100308,3,0.196716881742719,0.129854494577499,0.288026787443016,0.0927949102196018,0.0534970038779699,0.0760447859445395
2,0.206105712860007,0.145444202507594,0.232934121547834,0.167961935301483,0.136372190411696,0.0992354566204775,3,0.200800787679247,0.138271260673332,0.292327425009383,0.100847099703523,0.0588715621514025,0.0818756401703204
2,0.195579028515207,0.136154687835005,0.234042853302208,0.171544738610093,0.156419543746475,0.07195799773028,3,0.192560834172159,0.13410729772589,0.278573610421029,0.119488613096116,0.0829545801959757,0.0854161725899335
2,0.197702172881422,0.132740643187021,0.229817816851864,0.148143984949315,0.11328854496515,0.0966862668115882,3,0.201171389819311,0.134158116268447,0.286286866958044,0.101292878433696,0.0593422177792102,0.0819528274811912
2,0.19817287147304,0.135366956269986,0.231171945555346,0.185120037278625,0.167136109915362,0.0807439234523386,3,0.195333771983012,0.128933699100064,0.279295154005997,0.0985044389710755,0.0530436634224964,0.0831846676744631
2,0.20459070478575,0.139819513476465,0.239533024677117,0.155378426397534,0.133616620790576,0.0806870124076424,3,0.199073946869612,0.131058026836964,0.289678301937863,0.103315823755083,0.0650100967410547,0.0806592467966191
2,0.197858143108516,0.148684766330199,0.230632180615816,0.139798568249266,0.122355640858507,0.0690569316378355,3,0.207233084932549,0.139995610027282,0.294949976462983,0.0995952794302493,0.0560910195617341,0.0823211809540828
2,0.200144730263015,0.134851553414624,0.232884189969954,0.168847411507108,0.151077846308247,0.0766056833397526,3,0.201611422675613,0.142373146902416,0.283467917446099,0.0969874264961353,0.0557944588133644,0.0794687361182121
2,0.180305690123351,0.137363948220322,0.222929433370097,0.150245027716143,0.127820203761554,0.0799453498075727,3,0.203055449810962,0.142604604082273,0.29329462349339,0.097544357546419,0.0589305928941476,0.0778189821543418
2,0.196757709651367,0.146226181554245,0.230564889347564,0.24676830958629,0.228530895394533,0.0936542389402944,3,0.203772548517377,0.14103106573943,0.296090449521498,0.0923702701186913,0.0556028387258889,0.0740706105605805
2,0.204586422628833,0.144445690361923,0.229898264909229,0.152408869004781,0.132408777837205,0.0766742708968596,3,0.198938507441407,0.133178780412274,0.289474728529307,0.106306470207485,0.0592453300598452,0.0883453325220656
2,0.185571769734179,0.124453067006409,0.231631211838662,0.216259439782537,0.179201682442482,0.121748789176495,3,0.198580084600412,0.130633710386844,0.289499330353269,0.111948822816813,0.0647763712780203,0.0907143454702312
2,0.185267557374988,0.144604999069718,0.217897416672976,0.138825370341292,0.115046511377077,0.0786673054551617,3,0.199341069950373,0.132698058175381,0.288607052876608,0.103707393875532,0.0585574256281041,0.0857881081488691
2,0.193210997596671,0.130770942092215,0.22638057588964,0.237955158063408,0.220054924189198,0.0911470195730523,3,0.196097063094628,0.133954738290809,0.294062839586922,0.103237019671772,0.0577706726326788,0.0860180441842201
2,0.191999558921422,0.138688174137189,0.222756654295742,0.148616806207387,0.128636821710553,0.0756453748505004,3,0.193204833096074,0.135245672899445,0.287015584210793,0.0987504732893733,0.0552380690551642,0.0815831805462244
2,0.196038834843531,0.150034138099416,0.216492409062094,0.13636891719384,0.115516780859009,0.0737170368644978,3,0.19250059999005,0.131207975104715,0.276441408463854,0.101980293271711,0.0606092140972781,0.0821564198472613
2,0.203145462157428,0.143140848656443,0.233319233533873,0.158306155231206,0.138299671409038,0.078252483835524,3,0.19680690646385,0.13127456321604,0.285526120828754,0.102356001316652,0.0532479293042505,0.0877243122109991
2,0.194519723770142,0.123614306990396,0.231990149706542,0.174924868911176,0.15923984027143,0.0738468729421648,3,0.203347938305799,0.136252995201966,0.288747752402428,0.105868172166865,0.067018779729011,0.0821820706316573
2,0.185545300163807,0.125376021083912,0.221497710929393,0.120472357033765,0.0998954366073809,0.0686889935290528,3,0.19383935843462,0.132945316387684,0.278799257139836,0.104639821883883,0.0666708227106426,0.0806841191631309
2,0.202768213942975,0.130643324388772,0.235321955773702,0.159494694712899,0.13695049877495,0.0829934487396671,3,0.202532541691142,0.137716321995398,0.287454586722472,0.103394336722952,0.069686068363529,0.0766839107563769
2,0.187388717379068,0.131395509051127,0.220571572205899,0.174519382800423,0.154272338646938,0.0827749049448176,3,0.205390294504246,0.13585076452757,0.289518180483801,0.116304804278024,0.0724642396810625,0.0916001903681558
2,0.199996077111886,0.129399906646018,0.240711895832661,0.167448657453878,0.146632706505168,0.0825600985994348,3,0.201794310230783,0.121636354790564,0.292832441799394,0.100049022063544,0.0567789697950913,0.0829141967962368
2,0.183957378767589,0.132264246763955,0.215854872472611,0.122060457786847,0.100350131581686,0.0706495857244848,3,0.197754439495899,0.130763433884585,0.282372054795541,0.0942021139244997,0.0577037745587678,0.0747091060888973
